instrument_token,last_trade_time,last_price,oi_day_high,oi_day_low,volume
779521,2024-04-03 12:08:58,762.85,0,0,4619496
779521,2024-04-03 12:08:58,762.85,0,0,4619496
779521,2024-04-03 12:08:59,762.85,0,0,4619533
779521,2024-04-03 12:08:59,762.85,0,0,4619533
779521,2024-04-03 12:08:59,762.85,0,0,4619533
779521,2024-04-03 12:08:59,762.9,0,0,4619533
779521,2024-04-03 12:08:59,762.9,0,0,4619533
779521,2024-04-03 12:09:00,762.85,0,0,4619703
779521,2024-04-03 12:09:00,762.85,0,0,4619703
779521,2024-04-03 12:09:00,762.85,0,0,4619703
779521,2024-04-03 12:09:00,762.85,0,0,4619703
779521,2024-04-03 12:09:00,762.85,0,0,4619703
779521,2024-04-03 12:09:00,762.85,0,0,4619703
779521,2024-04-03 12:09:00,762.85,0,0,4619703
779521,2024-04-03 12:09:00,762.9,0,0,4619703
779521,2024-04-03 12:09:00,762.9,0,0,4619703
779521,2024-04-03 12:09:00,762.9,0,0,4619703
779521,2024-04-03 12:09:00,762.9,0,0,4619703
779521,2024-04-03 12:09:01,762.8,0,0,4619829
779521,2024-04-03 12:09:01,762.8,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:01,762.85,0,0,4619829
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:02,762.85,0,0,4619921
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.85,0,0,4620094
779521,2024-04-03 12:09:03,762.9,0,0,4620094
779521,2024-04-03 12:09:03,762.9,0,0,4620094
779521,2024-04-03 12:09:03,762.9,0,0,4620094
779521,2024-04-03 12:09:03,762.9,0,0,4620094
779521,2024-04-03 12:09:05,762.9,0,0,4620937
779521,2024-04-03 12:09:05,762.9,0,0,4620937
779521,2024-04-03 12:09:05,762.9,0,0,4620937
779521,2024-04-03 12:09:05,762.9,0,0,4620937
779521,2024-04-03 12:09:05,762.9,0,0,4620937
779521,2024-04-03 12:09:05,762.9,0,0,4620937
779521,2024-04-03 12:09:05,763.05,0,0,4620937
779521,2024-04-03 12:09:05,763.05,0,0,4620937
779521,2024-04-03 12:09:05,763.05,0,0,4620937
779521,2024-04-03 12:09:05,763.05,0,0,4620937
779521,2024-04-03 12:09:05,763.05,0,0,4620937
779521,2024-04-03 12:09:05,763.05,0,0,4620937
779521,2024-04-03 12:09:05,763.05,0,0,4620937
779521,2024-04-03 12:09:06,762.9,0,0,4623511
779521,2024-04-03 12:09:06,762.9,0,0,4623511
779521,2024-04-03 12:09:06,762.9,0,0,4623511
779521,2024-04-03 12:09:06,762.9,0,0,4623511
779521,2024-04-03 12:09:06,762.9,0,0,4623511
779521,2024-04-03 12:09:06,762.9,0,0,4623511
779521,2024-04-03 12:09:07,762.85,0,0,4624535
779521,2024-04-03 12:09:07,762.85,0,0,4624535
779521,2024-04-03 12:09:07,762.85,0,0,4624535
779521,2024-04-03 12:09:07,762.85,0,0,4624535
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.8,0,0,4624644
779521,2024-04-03 12:09:08,762.8,0,0,4624644
779521,2024-04-03 12:09:08,762.8,0,0,4624644
779521,2024-04-03 12:09:08,762.8,0,0,4624644
779521,2024-04-03 12:09:08,762.8,0,0,4624644
779521,2024-04-03 12:09:08,762.8,0,0,4624644
779521,2024-04-03 12:09:08,762.8,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:08,762.85,0,0,4624644
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:11,763.05,0,0,4625576
779521,2024-04-03 12:09:12,762.85,0,0,4625747
779521,2024-04-03 12:09:12,762.85,0,0,4625747
779521,2024-04-03 12:09:12,762.85,0,0,4625747
779521,2024-04-03 12:09:12,762.85,0,0,4625747
779521,2024-04-03 12:09:12,762.85,0,0,4625747
779521,2024-04-03 12:09:12,762.85,0,0,4625747
779521,2024-04-03 12:09:12,762.85,0,0,4625747
779521,2024-04-03 12:09:12,762.9,0,0,4625747
779521,2024-04-03 12:09:12,762.9,0,0,4625747
779521,2024-04-03 12:09:12,762.9,0,0,4625747
779521,2024-04-03 12:09:14,762.9,0,0,4625752
779521,2024-04-03 12:09:14,762.9,0,0,4625752
779521,2024-04-03 12:09:14,762.9,0,0,4625752
779521,2024-04-03 12:09:14,762.95,0,0,4625759
779521,2024-04-03 12:09:14,762.95,0,0,4625759
779521,2024-04-03 12:09:14,762.95,0,0,4625759
779521,2024-04-03 12:09:14,762.95,0,0,4625759
779521,2024-04-03 12:09:14,762.95,0,0,4625759
779521,2024-04-03 12:09:14,762.95,0,0,4625759
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:14,762.95,0,0,4625916
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
779521,2024-04-03 12:09:16,763.05,0,0,4626189
